epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.799797	-0.5109	-1.2190
1	daily	1.600000e-04	0.893449	3.576266	0.604219	0.5111	0.5367
2	daily	2.800000e-04	0.563071	2.237641	0.516544	0.6663	0.6637
3	daily	4.000000e-04	0.483868	1.968295	0.466763	0.6486	0.6421
4	daily	3.998377e-04	0.435085	1.810663	0.503611	0.5699	0.6678
5	daily	3.993512e-04	0.401906	1.723391	0.454727	0.6640	0.6931
6	daily	3.985411e-04	0.374037	1.631362	0.432413	0.7217	0.7484
7	daily	3.974089e-04	0.360188	1.580486	0.428826	0.6977	0.6984
8	daily	3.959565e-04	0.348023	1.548256	0.458306	0.6444	0.6670
9	daily	3.941863e-04	0.337320	1.504853	0.415356	0.6913	0.6885
10	daily	3.921011e-04	0.331543	1.481167	0.445892	0.6946	0.6967
11	daily	3.897046e-04	0.327003	1.466341	0.426879	0.6994	0.6811
12	daily	3.870006e-04	0.320948	1.440032	0.444787	0.7053	0.6954
13	daily	3.839937e-04	0.313319	1.405618	0.445864	0.7142	0.6895
14	daily	3.806889e-04	0.311362	1.398426	0.417141	0.7004	0.7365
15	daily	3.770917e-04	0.309473	1.398988	0.418757	0.7049	0.6877
16	daily	3.732081e-04	0.307233	1.386553	0.412472	0.7137	0.6955
17	daily	3.690444e-04	0.301381	1.358081	0.440542	0.7033	0.6760
18	daily	3.646078e-04	0.297598	1.327763	0.439509	0.6877	0.6567
19	daily	3.599055e-04	0.295346	1.326474	0.428783	0.7084	0.6711
20	daily	3.549454e-04	0.293795	1.330184	0.419151	0.7110	0.7165
21	daily	3.497357e-04	0.291555	1.315622	0.427371	0.7185	0.6912
22	daily	3.442851e-04	0.286686	1.286684	0.442043	0.7181	0.6812
23	daily	3.386026e-04	0.288335	1.297954	0.405840	0.7273	0.6657
24	daily	3.326978e-04	0.286452	1.300321	0.426488	0.7178	0.6834
25	daily	3.265805e-04	0.280953	1.263432	0.415762	0.7160	0.6891
26	daily	3.202608e-04	0.278118	1.251469	0.417233	0.7074	0.6782
27	daily	3.137493e-04	0.276705	1.242141	0.467971	0.7003	0.6288
28	daily	3.070568e-04	0.276485	1.247536	0.444412	0.7133	0.6900
29	daily	3.001944e-04	0.273392	1.229851	0.426631	0.7274	0.6844
30	daily	2.931735e-04	0.270465	1.216923	0.432515	0.7143	0.6778
31	daily	2.860059e-04	0.268171	1.205704	0.441239	0.7202	0.6944
# SWA activated at epoch 31
32	swa	2.000000e-04	0.275539	1.246879	0.427687	0.7233	0.6962
33	swa	2.000000e-04	0.269364	1.216453	0.415115	0.7253	0.6862
34	swa	2.000000e-04	0.272005	1.238601	0.419500	0.7201	0.6860
35	swa	2.000000e-04	0.267464	1.204382	0.422340	0.7203	0.6859
36	swa	2.000000e-04	0.264738	1.191078	0.421865	0.7238	0.6916
37	swa	2.000000e-04	0.265543	1.196379	0.421790	0.7225	0.6965
38	swa	2.000000e-04	0.269139	1.221293	0.422247	0.7261	0.6975
39	swa	2.000000e-04	0.264223	1.194460	0.421721	0.7241	0.6995
40	swa	2.000000e-04	0.259119	1.159289	0.425294	0.7188	0.6938
41	swa	2.000000e-04	0.260833	1.174844	0.425628	0.7186	0.6937
42	swa	2.000000e-04	0.261496	1.175657	0.427345	0.7238	0.6932
43	swa	2.000000e-04	0.261239	1.173369	0.429237	0.7249	0.6933
# SWA converged at epoch 43
