epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init	0.000000e+00	nan	nan	2.316089	-0.6783	-1.9121
1	train	1.600000e-04	0.897428	3.529689	0.626005	0.5356	0.5686
2	train	2.800000e-04	0.570024	2.226617	0.629753	0.5767	0.4947
3	train	4.000000e-04	0.479979	1.935612	0.549928	0.6416	0.5888
4	train	3.998377e-04	0.424875	1.765850	0.540506	0.6534	0.6542
5	train	3.993512e-04	0.388599	1.653600	0.526817	0.6600	0.6638
6	train	3.985411e-04	0.371995	1.600468	0.504024	0.6415	0.5668
7	train	3.974089e-04	0.358632	1.564035	0.546183	0.6737	0.6386
8	train	3.959565e-04	0.347373	1.502372	0.528221	0.6717	0.6696
9	train	3.941863e-04	0.339610	1.482388	0.504324	0.6833	0.6765
10	train	3.921011e-04	0.331422	1.454492	0.521043	0.6818	0.6811
11	train	3.897046e-04	0.329772	1.459793	0.515110	0.6927	0.6645
12	train	3.870006e-04	0.325765	1.437727	0.553730	0.6887	0.6422
13	train	3.839937e-04	0.317594	1.396116	0.548131	0.6837	0.6414
14	train	3.806889e-04	0.316896	1.408874	0.544615	0.6863	0.6341
# SWA activated at epoch 14
15	swa	2.903445e-04	0.357660	1.552198	0.552740	0.6511	0.6510
16	swa	2.000000e-04	0.338337	1.481882	0.514458	0.6816	0.6332
17	swa	2.000000e-04	0.327786	1.446701	0.506967	0.6861	0.6483
18	swa	2.000000e-04	0.322441	1.428453	0.507137	0.6814	0.6474
19	swa	2.000000e-04	0.320382	1.419856	0.499497	0.6759	0.6759
20	swa	2.000000e-04	0.315364	1.398072	0.499080	0.6765	0.6747
21	swa	2.000000e-04	0.312015	1.386324	0.501485	0.6808	0.6671
22	swa	2.000000e-04	0.314954	1.409033	0.501905	0.6826	0.6676
23	swa	2.000000e-04	0.308418	1.374475	0.501745	0.6795	0.6664
24	swa	2.000000e-04	0.308995	1.390631	0.500878	0.6767	0.6635
25	swa	2.000000e-04	0.305169	1.364406	0.501868	0.6766	0.6535
26	swa	2.000000e-04	0.304350	1.374409	0.499087	0.6782	0.6673
27	swa	2.000000e-04	0.299980	1.337088	0.500212	0.6772	0.6728
28	swa	2.000000e-04	0.301944	1.350845	0.500296	0.6767	0.6685
29	swa	2.000000e-04	0.293553	1.310853	0.498230	0.6788	0.6677
30	swa	2.000000e-04	0.295649	1.335025	0.497620	0.6803	0.6708
31	swa	2.000000e-04	0.296831	1.344900	0.496823	0.6827	0.6697
32	swa	2.000000e-04	0.294771	1.334266	0.496927	0.6811	0.6705
33	swa	2.000000e-04	0.293599	1.326390	0.497005	0.6816	0.6698
34	swa	2.000000e-04	0.294559	1.343265	0.497719	0.6822	0.6635
35	swa	2.000000e-04	0.293506	1.338400	0.500191	0.6830	0.6594
36	swa	2.000000e-04	0.289686	1.309777	0.502028	0.6854	0.6571
37	swa	2.000000e-04	0.286213	1.290625	0.499672	0.6859	0.6532
38	swa	2.000000e-04	0.286823	1.308379	0.500409	0.6847	0.6562
39	swa	2.000000e-04	0.284920	1.296697	0.502167	0.6852	0.6563
40	swa	2.000000e-04	0.278199	1.249175	0.503595	0.6844	0.6545
41	swa	2.000000e-04	0.281678	1.276135	0.506540	0.6844	0.6512
# SWA converged at epoch 41
