epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	21.617704	-0.0602	-1.0255
1	daily	1.600000e-04	5.915873	23.664597	6.952713	0.5526	0.5583
2	daily	2.800000e-04	3.418163	13.121443	5.426511	0.6799	0.5940
3	daily	4.000000e-04	2.866384	11.444229	5.754142	0.6851	0.6666
4	daily	3.998377e-04	2.547812	10.349027	5.132906	0.7544	0.6390
5	daily	3.993512e-04	2.321626	9.742872	5.055740	0.7144	0.6638
6	daily	3.985411e-04	2.197743	9.407749	4.803555	0.7513	0.6965
7	daily	3.974089e-04	2.107696	9.056494	5.108665	0.7288	0.6941
8	daily	3.959565e-04	2.039949	8.820940	4.917256	0.7565	0.7146
9	daily	3.941863e-04	1.993783	8.636730	5.020307	0.7237	0.7243
10	daily	3.921011e-04	1.954121	8.458397	5.040751	0.7526	0.7096
11	daily	3.897046e-04	1.932860	8.423061	4.836573	0.7465	0.7172
12	daily	3.870006e-04	1.938014	8.518196	4.873136	0.7603	0.6954
13	daily	3.839937e-04	1.890682	8.279563	4.941686	0.7537	0.6910
14	daily	3.806889e-04	1.882057	8.278326	4.734178	0.7731	0.7227
15	daily	3.770917e-04	1.846803	8.104596	4.854747	0.7391	0.6891
16	daily	3.732081e-04	1.839880	8.059462	4.722480	0.7631	0.7350
17	daily	3.690444e-04	1.821042	8.004628	4.776064	0.7437	0.6811
18	daily	3.646078e-04	1.802174	7.960405	4.525292	0.7648	0.7322
19	daily	3.599055e-04	1.778568	7.828241	4.475360	0.7563	0.6958
20	daily	3.549454e-04	1.763660	7.722384	4.621516	0.7735	0.6958
21	daily	3.497357e-04	1.772344	7.798507	4.663092	0.7512	0.7170
22	daily	3.442851e-04	1.754086	7.744645	4.608899	0.7789	0.7064
23	daily	3.386026e-04	1.749912	7.700642	4.723900	0.7529	0.7192
24	daily	3.326978e-04	1.732268	7.643060	5.761877	0.7233	0.7282
25	daily	3.265805e-04	1.721060	7.621457	4.776930	0.7389	0.6887
26	daily	3.202608e-04	1.706349	7.537015	4.631746	0.7513	0.7122
27	daily	3.137493e-04	1.688463	7.379269	4.289758	0.7664	0.7172
28	daily	3.070568e-04	1.703023	7.519062	4.419910	0.7233	0.7284
29	daily	3.001944e-04	1.677666	7.373376	4.551251	0.7571	0.7259
30	daily	2.931735e-04	1.672992	7.410735	4.708130	0.7153	0.6623
31	daily	2.860059e-04	1.662998	7.353807	4.592047	0.7516	0.7202
32	daily	2.787035e-04	1.644470	7.222807	4.369928	0.7499	0.7223
33	daily	2.712784e-04	1.657872	7.326799	4.612435	0.7543	0.7289
34	daily	2.637430e-04	1.631012	7.171078	4.551026	0.7380	0.7413
35	daily	2.561098e-04	1.611301	7.064209	4.485290	0.7355	0.7042
# SWA activated at epoch 35
36	swa	2.000000e-04	1.623289	7.133663	4.402223	0.7695	0.7464
37	swa	2.000000e-04	1.636280	7.318924	4.559574	0.7617	0.7484
38	swa	2.000000e-04	1.626937	7.239189	4.467368	0.7708	0.7385
39	swa	2.000000e-04	1.621450	7.147324	4.430222	0.7674	0.7440
40	swa	2.000000e-04	1.609742	7.101080	4.442000	0.7608	0.7292
41	swa	2.000000e-04	1.614891	7.118887	4.459035	0.7546	0.7459
42	swa	2.000000e-04	1.601190	7.028944	4.471088	0.7554	0.7474
43	swa	2.000000e-04	1.599709	7.041200	4.471458	0.7537	0.7468
44	swa	2.000000e-04	1.581279	6.937323	4.469744	0.7512	0.7564
45	swa	2.000000e-04	1.579683	6.928891	4.461460	0.7516	0.7512
46	swa	2.000000e-04	1.577409	6.889906	4.454413	0.7551	0.7554
# SWA converged at epoch 46
