epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge	tau	tau_eff	pi_0	pi_1
0	init_daily	0.000000e+00	nan	nan	1.670051	-0.0250	-0.5422	0.250000	0.250000	0.643186	0.356814
1	daily	1.600000e-04	0.629536	0.616627	0.696663	0.5603	0.5321	0.246212	0.246212	0.486556	0.513444
2	daily	2.800000e-04	0.379402	0.366813	0.517308	0.6654	0.6213	0.244517	0.244517	0.569220	0.430780
3	daily	4.000000e-04	0.316603	0.304397	0.461430	0.7038	0.6107	0.245039	0.245039	0.617818	0.382182
4	daily	3.998377e-04	0.290481	0.278152	0.473040	0.6936	0.6538	0.248738	0.248738	0.603570	0.396430
5	daily	3.993512e-04	0.268958	0.256322	0.450202	0.7201	0.6714	0.251888	0.251888	0.606865	0.393135
6	daily	3.985411e-04	0.254903	0.242054	0.446128	0.7169	0.6013	0.255288	0.255288	0.585776	0.414224
7	daily	3.974089e-04	0.246236	0.233201	0.446357	0.6959	0.6565	0.258555	0.258555	0.580828	0.419172
8	daily	3.959565e-04	0.240038	0.226914	0.487210	0.7097	0.6811	0.262092	0.262092	0.587408	0.412592
9	daily	3.941863e-04	0.235613	0.222432	0.449208	0.7294	0.6263	0.266771	0.266771	0.586165	0.413835
10	daily	3.921011e-04	0.231038	0.217774	0.427743	0.7188	0.6716	0.269561	0.269561	0.585046	0.414954
11	daily	3.897046e-04	0.228787	0.215461	0.453551	0.7114	0.6968	0.271651	0.271651	0.577141	0.422859
12	daily	3.870006e-04	0.227946	0.214584	0.430811	0.7367	0.6598	0.274338	0.274338	0.580724	0.419276
13	daily	3.839937e-04	0.222408	0.208994	0.433726	0.7298	0.6760	0.276970	0.276970	0.574255	0.425745
14	daily	3.806889e-04	0.222134	0.208705	0.432041	0.7268	0.6959	0.279696	0.279696	0.574365	0.425635
15	daily	3.770917e-04	0.219041	0.205585	0.440951	0.7393	0.6457	0.281266	0.281266	0.560839	0.439161
16	daily	3.732081e-04	0.219216	0.205707	0.454242	0.7489	0.6509	0.284914	0.284914	0.563312	0.436688
17	daily	3.690444e-04	0.214906	0.201364	0.448514	0.7298	0.6887	0.286227	0.286227	0.553432	0.446568
18	daily	3.646078e-04	0.213978	0.200416	0.438915	0.7309	0.7038	0.287612	0.287612	0.550929	0.449071
# SWA activated at epoch 18
19	swa	2.000000e-04	0.221968	0.208598	0.436509	0.7425	0.6358	0.268636	0.268636	0.571728	0.428272
20	swa	2.000000e-04	0.219413	0.205991	0.431783	0.7270	0.6819	0.269070	0.269070	0.574589	0.425411
21	swa	2.000000e-04	0.219381	0.205932	0.429322	0.7303	0.6930	0.269448	0.269448	0.575474	0.424526
22	swa	2.000000e-04	0.216200	0.202722	0.423412	0.7293	0.7011	0.269568	0.269568	0.574657	0.425343
23	swa	2.000000e-04	0.216175	0.202665	0.422334	0.7333	0.6961	0.269824	0.269824	0.573207	0.426793
24	swa	2.000000e-04	0.214020	0.200494	0.421095	0.7344	0.6954	0.270040	0.270040	0.571127	0.428873
25	swa	2.000000e-04	0.212518	0.198972	0.423899	0.7358	0.6933	0.270172	0.270172	0.570298	0.429702
26	swa	2.000000e-04	0.211865	0.198306	0.422428	0.7360	0.6949	0.270380	0.270380	0.568677	0.431323
27	swa	2.000000e-04	0.211756	0.198177	0.422111	0.7393	0.6949	0.270490	0.270490	0.567499	0.432501
28	swa	2.000000e-04	0.211929	0.198341	0.420790	0.7396	0.6988	0.270599	0.270599	0.566643	0.433357
