epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge	tau	pi_0	pi_1
0	init	0.000000e+00	nan	nan	1.178586	-0.2028	-1.3960	0.500000	0.530639	0.469361
1	train	1.600000e-04	0.797952	0.797952	0.520383	0.4900	0.4478	0.492069	0.009205	0.990795
2	train	2.800000e-04	0.460607	0.460607	0.354257	0.6582	0.6330	0.485986	0.304110	0.695890
3	train	4.000000e-04	0.363497	0.363497	0.306195	0.7156	0.6521	0.485952	0.348747	0.651253
4	train	3.998377e-04	0.324722	0.324722	0.282495	0.7567	0.7170	0.488260	0.374286	0.625714
5	train	3.993512e-04	0.299253	0.299253	0.273840	0.7651	0.6997	0.487827	0.342431	0.657569
6	train	3.985411e-04	0.283422	0.283422	0.278490	0.7649	0.7244	0.486945	0.336689	0.663311
7	train	3.974089e-04	0.276498	0.276498	0.271205	0.7685	0.7221	0.486328	0.354046	0.645954
8	train	3.959565e-04	0.269112	0.269112	0.260636	0.7642	0.7304	0.485101	0.328906	0.671094
9	train	3.941863e-04	0.263292	0.263292	0.253900	0.7740	0.6780	0.484000	0.351098	0.648902
10	train	3.921011e-04	0.257877	0.257877	0.255928	0.7878	0.7120	0.483210	0.352048	0.647952
11	train	3.897046e-04	0.254039	0.254039	0.254878	0.7800	0.6915	0.481364	0.349923	0.650077
12	train	3.870006e-04	0.251048	0.251048	0.254218	0.7723	0.6804	0.480269	0.325786	0.674214
13	train	3.839937e-04	0.247779	0.247779	0.250652	0.7741	0.6999	0.479072	0.355000	0.645001
14	train	3.806889e-04	0.243771	0.243771	0.248693	0.7836	0.7043	0.477340	0.335401	0.664599
15	train	3.770917e-04	0.242357	0.242357	0.249387	0.7851	0.7014	0.476372	0.345322	0.654678
16	train	3.732081e-04	0.240244	0.240244	0.254224	0.7620	0.7323	0.475374	0.344894	0.655106
17	train	3.690444e-04	0.236699	0.236699	0.259131	0.7875	0.7189	0.474151	0.319192	0.680808
18	train	3.646078e-04	0.235001	0.235001	0.248633	0.7785	0.6831	0.471889	0.318513	0.681487
19	train	3.599055e-04	0.233582	0.233582	0.248282	0.7796	0.6795	0.471792	0.326786	0.673214
# SWA activated at epoch 19
20	swa	2.799527e-04	0.241107	0.241107	0.252731	0.7881	0.7151	0.476924	0.351964	0.648036
21	swa	2.000000e-04	0.237215	0.237215	0.246023	0.7968	0.7225	0.475902	0.340838	0.659162
22	swa	2.000000e-04	0.230506	0.230506	0.243388	0.7880	0.6837	0.475505	0.342641	0.657359
23	swa	2.000000e-04	0.228655	0.228655	0.242323	0.7911	0.6931	0.475108	0.343470	0.656531
24	swa	2.000000e-04	0.226539	0.226539	0.242232	0.7870	0.6959	0.474803	0.343070	0.656930
25	swa	2.000000e-04	0.226581	0.226581	0.242884	0.7878	0.6974	0.474535	0.344647	0.655353
26	swa	2.000000e-04	0.225077	0.225077	0.242359	0.7857	0.6957	0.474258	0.343949	0.656051
27	swa	2.000000e-04	0.225162	0.225162	0.241922	0.7875	0.6960	0.473886	0.343311	0.656689
28	swa	2.000000e-04	0.222474	0.222474	0.241843	0.7878	0.6961	0.473573	0.343701	0.656299
29	swa	2.000000e-04	0.221443	0.221443	0.241819	0.7884	0.6927	0.473222	0.343176	0.656824
30	swa	2.000000e-04	0.221937	0.221937	0.241758	0.7890	0.7156	0.472891	0.344352	0.655648
31	swa	2.000000e-04	0.218015	0.218015	0.241423	0.7894	0.7190	0.472561	0.344645	0.655355
32	swa	2.000000e-04	0.218910	0.218910	0.241158	0.7883	0.7195	0.472231	0.344534	0.655466
33	swa	2.000000e-04	0.217937	0.217937	0.241250	0.7888	0.7203	0.471819	0.343832	0.656168
34	swa	2.000000e-04	0.216498	0.216498	0.241146	0.7894	0.7210	0.471470	0.344475	0.655525
35	swa	2.000000e-04	0.215753	0.215753	0.241403	0.7889	0.7228	0.471171	0.344110	0.655891
36	swa	2.000000e-04	0.215539	0.215539	0.241591	0.7897	0.7191	0.470842	0.343683	0.656317
37	swa	2.000000e-04	0.213858	0.213858	0.241729	0.7876	0.7184	0.470495	0.343313	0.656687
38	swa	2.000000e-04	0.211891	0.211891	0.241876	0.7877	0.7183	0.470161	0.342789	0.657211
39	swa	2.000000e-04	0.211525	0.211525	0.242130	0.7863	0.7198	0.469787	0.342152	0.657848
40	swa	2.000000e-04	0.210061	0.210061	0.242384	0.7844	0.7220	0.469391	0.340730	0.659270
41	swa	2.000000e-04	0.209812	0.209812	0.242351	0.7845	0.7201	0.469011	0.340663	0.659337
42	swa	2.000000e-04	0.208249	0.208249	0.242759	0.7838	0.7205	0.468647	0.339160	0.660840
# SWA converged at epoch 42
