epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.441217	-0.0988	-1.0520
1	daily	1.600000e-04	0.765322	0.765322	0.663857	0.4972	0.4744
2	daily	2.800000e-04	0.433300	0.433300	0.492610	0.6210	0.5970
3	daily	4.000000e-04	0.348769	0.348769	0.556302	0.5322	0.4577
4	daily	3.998377e-04	0.309423	0.309423	0.402966	0.6926	0.6528
5	daily	3.993512e-04	0.281686	0.281686	0.402973	0.6991	0.6615
6	daily	3.985411e-04	0.269404	0.269404	0.406178	0.6760	0.6825
7	daily	3.974089e-04	0.258272	0.258272	0.449521	0.6475	0.6202
8	daily	3.959565e-04	0.253466	0.253466	0.405628	0.7201	0.6900
9	daily	3.941863e-04	0.248341	0.248341	0.417667	0.6873	0.6733
10	daily	3.921011e-04	0.242879	0.242879	0.409054	0.6756	0.6523
11	daily	3.897046e-04	0.240124	0.240124	0.394908	0.7049	0.6354
12	daily	3.870006e-04	0.238636	0.238636	0.414383	0.6862	0.6751
13	daily	3.839937e-04	0.235742	0.235742	0.422689	0.6718	0.6481
14	daily	3.806889e-04	0.231425	0.231425	0.421411	0.6851	0.6632
15	daily	3.770917e-04	0.231371	0.231371	0.412583	0.6815	0.6581
16	daily	3.732081e-04	0.226023	0.226023	0.414419	0.6767	0.6693
17	daily	3.690444e-04	0.224645	0.224645	0.427245	0.6687	0.6755
18	daily	3.646078e-04	0.222537	0.222537	0.406253	0.7128	0.6715
19	daily	3.599055e-04	0.221748	0.221748	0.412398	0.6649	0.6532
# SWA activated at epoch 19
20	swa	2.000000e-04	0.232112	0.232112	0.408083	0.6948	0.6661
21	swa	2.000000e-04	0.228250	0.228250	0.393180	0.7111	0.6836
22	swa	2.000000e-04	0.223355	0.223355	0.386332	0.7159	0.6792
23	swa	2.000000e-04	0.224858	0.224858	0.386729	0.7122	0.6808
24	swa	2.000000e-04	0.223137	0.223137	0.390026	0.7127	0.6801
25	swa	2.000000e-04	0.219222	0.219222	0.391577	0.7054	0.6781
26	swa	2.000000e-04	0.218175	0.218175	0.392114	0.7055	0.6784
27	swa	2.000000e-04	0.219352	0.219352	0.393311	0.7053	0.6794
28	swa	2.000000e-04	0.216206	0.216206	0.395802	0.7132	0.6800
29	swa	2.000000e-04	0.215425	0.215425	0.398416	0.7057	0.6789
30	swa	2.000000e-04	0.216665	0.216665	0.397438	0.7087	0.6790
31	swa	2.000000e-04	0.212604	0.212604	0.398364	0.7105	0.6721
32	swa	2.000000e-04	0.213661	0.213661	0.397657	0.7120	0.6833
# SWA converged at epoch 32
