epoch	phase	lr	train_crps	train_total	val_crps	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	0.501959	-0.0381	-0.4781
1	daily	5.600000e-05	0.367262	0.313845	0.194572	0.4508	0.4930
2	daily	9.200000e-05	0.225425	0.171149	0.162373	0.5543	0.5291
3	daily	1.280000e-04	0.197200	0.142751	0.153510	0.5957	0.5717
4	daily	1.640000e-04	0.182277	0.127694	0.150120	0.6405	0.5837
5	daily	2.000000e-04	0.172805	0.118149	0.154185	0.6652	0.6134
6	daily	1.999481e-04	0.168052	0.113349	0.153199	0.6693	0.6324
7	daily	1.997923e-04	0.165206	0.110453	0.153193	0.6837	0.5926
8	daily	1.995329e-04	0.164834	0.110052	0.154000	0.6620	0.6181
9	daily	1.991701e-04	0.163721	0.108922	0.148987	0.6468	0.5719
10	daily	1.987043e-04	0.164485	0.109678	0.152019	0.6612	0.5626
11	daily	1.981361e-04	0.164476	0.109672	0.153842	0.6552	0.6155
12	daily	1.974660e-04	0.163439	0.108630	0.158937	0.6353	0.6077
13	daily	1.966948e-04	0.162787	0.107977	0.153780	0.6633	0.5973
14	daily	1.958234e-04	0.161192	0.106381	0.152711	0.6771	0.6198
15	daily	1.948526e-04	0.159754	0.104944	0.151275	0.6724	0.6076
16	daily	1.937836e-04	0.158404	0.103596	0.153275	0.6499	0.5808
17	daily	1.926175e-04	0.156527	0.101712	0.156096	0.6624	0.6291
18	daily	1.913556e-04	0.156712	0.101901	0.158080	0.6633	0.6318
19	daily	1.899993e-04	0.155924	0.101115	0.151620	0.6470	0.5802
20	daily	1.885500e-04	0.156993	0.102184	0.159940	0.6215	0.5217
21	daily	1.870094e-04	0.156635	0.101826	0.152506	0.6817	0.6652
22	daily	1.853790e-04	0.155886	0.101076	0.155725	0.6322	0.5588
23	daily	1.836608e-04	0.155305	0.100498	0.155504	0.6695	0.6208
24	daily	1.818566e-04	0.154856	0.100048	0.151403	0.6583	0.5784
# Early stopping at epoch 24
