epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init	0.000000e+00	nan	nan	1.673930	-0.0921	-0.6200
1	train	1.600000e-04	0.734952	0.734952	0.803648	0.4241	0.4561
2	train	2.800000e-04	0.434239	0.434239	0.560166	0.6380	0.6035
3	train	4.000000e-04	0.345578	0.345578	0.484943	0.7170	0.6437
4	train	3.998377e-04	0.310457	0.310457	0.462743	0.7092	0.6700
5	train	3.993512e-04	0.280741	0.280741	0.478845	0.7110	0.6755
6	train	3.985411e-04	0.262376	0.262376	0.484702	0.7279	0.6517
7	train	3.974089e-04	0.253254	0.253254	0.481761	0.7282	0.6812
8	train	3.959565e-04	0.246144	0.246144	0.481364	0.7033	0.6389
9	train	3.941863e-04	0.237898	0.237898	0.486751	0.6890	0.6657
10	train	3.921011e-04	0.236595	0.236595	0.485937	0.7423	0.6585
11	train	3.897046e-04	0.231396	0.231396	0.493648	0.7214	0.6607
12	train	3.870006e-04	0.227270	0.227270	0.480172	0.7460	0.6510
# SWA activated at epoch 12
13	swa	2.935003e-04	0.282670	0.282670	0.476080	0.7268	0.6781
14	swa	2.000000e-04	0.259711	0.259711	0.468418	0.7338	0.6723
15	swa	2.000000e-04	0.248205	0.248205	0.466924	0.7346	0.6721
16	swa	2.000000e-04	0.245119	0.245119	0.470356	0.7300	0.6646
17	swa	2.000000e-04	0.239907	0.239907	0.471057	0.7276	0.6720
18	swa	2.000000e-04	0.234815	0.234815	0.470707	0.7331	0.6712
19	swa	2.000000e-04	0.232861	0.232861	0.470935	0.7324	0.6764
20	swa	2.000000e-04	0.228457	0.228457	0.471247	0.7340	0.6765
21	swa	2.000000e-04	0.225864	0.225864	0.471717	0.7351	0.6755
22	swa	2.000000e-04	0.225377	0.225377	0.472620	0.7402	0.6721
23	swa	2.000000e-04	0.220471	0.220471	0.472300	0.7387	0.6689
24	swa	2.000000e-04	0.220301	0.220301	0.472187	0.7372	0.6660
25	swa	2.000000e-04	0.215702	0.215702	0.473095	0.7286	0.6647
# SWA converged at epoch 25
